"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2025",,,,,,"Data collected as of January 29, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,54594,11.06,2283,0.73,1038,0.33,7415,2.37,18956,6.06,810,0.26,372,0.12,3074,0.98,623,0.2,28,0.01,90,0.03,28,0.04,412,0.59,8,0.02,15,0.03,302,0.63,3,0.01,15,0.03,29920,6.06
Hokkaido,1794,8.08,234,1.72,47,0.35,541,3.98,307,2.26,50,0.37,26,0.19,86,0.63,23,0.17,1,0.01,4,0.03,-,-,9,0.31,-,-,1,0.05,19,0.86,-,-,-,-,1454,6.55
Aomori,567,9.78,8,0.22,13,0.35,50,1.35,143,3.86,14,0.38,9,0.24,127,3.43,12,0.32,-,-,2,0.05,-,-,1,0.1,1,0.17,3,0.5,9,1.5,-,-,-,-,436,7.52
Iwate,749,12.08,11,0.28,20,0.51,156,4,284,7.28,9,0.23,10,0.26,51,1.31,8,0.21,-,-,1,0.03,-,-,3,0.21,-,-,-,-,12,0.63,-,-,2,0.11,488,7.87
Miyagi,1569,17.24,25,0.45,34,0.62,100,1.82,213,3.87,6,0.11,3,0.05,101,1.84,10,0.18,1,0.02,2,0.04,-,-,5,0.42,-,-,-,-,7,0.7,-,-,-,-,840,9.23
Akita,469,9.02,14,0.41,15,0.44,30,0.88,106,3.12,8,0.24,11,0.32,5,0.15,2,0.06,1,0.03,-,-,-,-,1,0.14,-,-,-,-,6,0.75,-,-,-,-,263,5.06
Yamagata,1063,25.31,12,0.44,17,0.63,60,2.22,73,2.7,10,0.37,18,0.67,28,1.04,9,0.33,-,-,-,-,-,-,8,1,1,0.1,-,-,8,0.8,-,-,-,-,276,6.57
Fukushima,901,10.99,52,1.06,24,0.49,93,1.9,131,2.67,9,0.18,3,0.06,128,2.61,14,0.29,-,-,-,-,-,-,19,1.46,-,-,-,-,3,0.43,-,-,1,0.14,780,9.51
Ibaraki,1315,10.96,43,0.57,43,0.57,398,5.31,476,6.35,15,0.2,5,0.07,50,0.67,10,0.13,1,0.01,-,-,-,-,37,2.18,-,-,1,0.08,2,0.15,-,-,1,0.08,1052,8.77
Tochigi,947,12.46,40,0.83,30,0.63,98,2.04,223,4.65,7,0.15,12,0.25,131,2.73,11,0.23,2,0.04,3,0.06,-,-,6,0.5,-,-,-,-,2,0.29,-,-,-,-,647,8.51
Gunma,1143,13.45,61,1.15,10,0.19,62,1.17,368,6.94,25,0.47,5,0.09,46,0.87,14,0.26,1,0.02,1,0.02,-,-,6,0.43,-,-,-,-,5,0.56,-,-,-,-,581,6.84
Saitama,3126,11.98,129,0.79,42,0.26,398,2.43,1124,6.85,63,0.38,21,0.13,466,2.84,41,0.25,3,0.02,6,0.04,9,0.21,14,0.33,-,-,1,0.08,10,0.83,2,0.17,-,-,1648,6.31
Chiba,2424,11.88,37,0.29,17,0.13,470,3.67,938,7.33,36,0.28,9,0.07,338,2.64,17,0.13,-,-,4,0.03,-,-,24,0.69,1,0.11,-,-,1,0.11,-,-,-,-,1440,7.06
