"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18th week, 2023",,,,,,"Data collected as of May 11, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Tochigi,8494,111.76,128,2.67,56,1.17,331,6.9,3733,77.77,61,1.27,28,0.58,4,0.08,237,4.94,8,0.17,17,0.35,-,-,43,3.58,3,0.43,1,0.14,1,0.14,-,-,1,0.14
Gunma,6849,79.64,99,1.87,186,3.51,239,4.51,5153,97.23,94,1.77,28,0.53,18,0.34,293,5.53,14,0.26,42,0.79,-,-,77,5.5,2,0.22,-,-,1,0.11,-,-,-,-
Saitama,29848,117.51,846,5.29,534,3.34,1088,6.8,17521,109.51,301,1.88,183,1.14,37,0.23,759,4.74,53,0.33,120,0.75,23,0.58,132,3.3,4,0.36,8,0.73,3,0.27,-,-,5,0.45
Chiba,21926,105.41,241,1.85,230,1.77,900,6.92,12743,98.02,195,1.5,104,0.8,20,0.15,430,3.31,49,0.38,82,0.63,3,0.09,144,4.24,3,0.33,5,0.56,-,-,-,-,-,-
Tokyo,44751,108.88,744,2.87,628,2.42,1804,6.97,27630,106.68,401,1.55,289,1.12,71,0.27,1142,4.41,191,0.74,157,0.61,6,0.16,76,2,10,0.42,16,0.67,6,0.25,6,0.25,3,0.13
Kanagawa,44998,126.04,332,1.47,341,1.51,1289,5.7,20253,89.62,223,0.99,138,0.61,41,0.18,871,3.85,116,0.51,141,0.62,7,0.14,405,8.1,6,0.55,18,1.64,5,0.45,-,-,1,0.09
Niigata,17127,199.15,759,13.8,216,3.93,975,17.73,4893,88.96,70,1.27,37,0.67,7,0.13,226,4.11,11,0.2,32,0.58,1,0.1,24,2.4,2,0.17,4,0.33,6,0.5,-,-,1,0.08
Toyama,11158,232.46,532,18.34,215,7.41,474,16.34,5170,178.28,47,1.62,14,0.48,3,0.1,95,3.28,27,0.93,9,0.31,-,-,9,1.29,-,-,-,-,-,-,-,-,-,-
Ishikawa,14246,296.79,342,11.79,108,3.72,180,6.21,5101,175.9,41,1.41,115,3.97,1,0.03,126,4.34,63,2.17,11,0.38,1,0.14,43,6.14,1,0.2,2,0.4,7,1.4,-,-,1,0.2
Fukui,10010,270.54,464,20.17,189,8.22,322,14,2114,91.91,66,2.87,191,8.3,4,0.17,96,4.17,107,4.65,14,0.61,-,-,3,1,3,0.5,3,0.5,1,0.17,-,-,-,-
Yamanashi,1920,46.83,70,2.92,8,0.33,23,0.96,2409,100.38,12,0.5,8,0.33,1,0.04,104,4.33,3,0.13,14,0.58,-,-,40,4.44,1,0.1,-,-,1,0.1,-,-,3,0.3
Nagano,8594,98.78,245,4.62,92,1.74,178,3.36,6413,121,56,1.06,16,0.3,5,0.09,157,2.96,24,0.45,16,0.3,5,0.5,72,7.2,-,-,5,0.42,4,0.33,-,-,1,0.08
Gifu,4569,53.13,278,5.35,173,3.33,208,4,3641,70.02,24,0.46,40,0.77,2,0.04,158,3.04,8,0.15,11,0.21,-,-,30,2.73,-,-,6,1.2,-,-,-,-,1,0.2
Shizuoka,8252,59.37,555,6.31,317,3.6,381,4.33,8535,96.99,107,1.22,78,0.89,17,0.19,333,3.78,27,0.31,63,0.72,1,0.05,39,1.77,7,0.7,7,0.7,6,0.6,-,-,2,0.2
Aichi,23580,120.92,538,2.96,414,2.27,1355,7.45,17393,95.57,189,1.04,117,0.64,21,0.12,523,2.87,56,0.31,66,0.36,3,0.09,44,1.26,7,0.47,5,0.33,-,-,-,-,2,0.13
Mie,8721,122.83,139,3.16,192,4.36,188,4.27,4004,91,88,2,19,0.43,6,0.14,183,4.16,7,0.16,16,0.36,-,-,7,0.58,4,0.44,9,1,3,0.33,-,-,-,-
Shiga,8738,148.1,236,6.74,89,2.54,248,7.09,2963,84.66,70,2,23,0.66,4,0.11,91,2.6,23,0.66,14,0.4,-,-,-,-,1,0.14,1,0.14,3,0.43,-,-,-,-
Kyoto,23985,193.43,825,11,211,2.81,1017,13.56,6165,82.2,142,1.89,110,1.47,14,0.19,200,2.67,68,0.91,18,0.24,1,0.06,36,2.12,1,0.14,2,0.29,3,0.43,-,-,5,0.71
Osaka,58503,197.65,3418,17.62,632,3.26,1965,10.13,19169,98.81,258,1.33,302,1.56,35,0.18,709,3.65,206,1.06,114,0.59,10,0.2,137,2.69,2,0.13,6,0.4,-,-,-,-,7,0.47
Hyogo,27169,137.22,1310,10.23,393,3.07,720,5.63,16375,127.93,182,1.42,344,2.69,22,0.17,421,3.29,235,1.84,39,0.3,5,0.14,145,4.14,8,0.57,8,0.57,2,0.14,-,-,1,0.07
Nara,8093,147.15,458,13.47,97,2.85,183,5.38,3389,99.68,29,0.85,107,3.15,4,0.12,142,4.18,29,0.85,9,0.26,2,0.2,55,5.5,6,1,3,0.5,1,0.17,1,0.17,1,0.17
Wakayama,5129,104.67,538,17.93,55,1.83,208,6.93,2373,79.1,31,1.03,33,1.1,1,0.03,107,3.57,3,0.1,12,0.4,4,1,6,1.5,2,0.18,4,0.36,5,0.45,-,-,4,0.36
Tottori,1684,58.07,41,2.16,54,2.84,477,25.11,2676,140.84,13,0.68,23,1.21,4,0.21,85,4.47,8,0.42,4,0.21,1,0.2,3,0.6,1,0.2,2,0.4,-,-,-,-,4,0.8
Shimane,3023,79.55,31,1.35,73,3.17,78,3.39,2498,108.61,49,2.13,78,3.39,3,0.13,154,6.7,16,0.7,9,0.39,-,-,7,2.33,5,0.63,2,0.25,-,-,-,-,-,-
Okayama,9317,110.92,334,6.19,164,3.04,186,3.44,5281,97.8,66,1.22,155,2.87,9,0.17,191,3.54,62,1.15,37,0.69,5,0.42,41,3.42,2,0.4,8,1.6,1,0.2,-,-,3,0.6
Hiroshima,14284,125.3,528,7.44,338,4.76,557,7.85,7877,110.94,68,0.96,37,0.52,8,0.11,256,3.61,151,2.13,19,0.27,8,0.42,111,5.84,2,0.1,1,0.05,3,0.14,-,-,3,0.14
Yamaguchi,5803,89.28,465,10.57,95,2.16,471,10.7,5071,115.25,48,1.09,32,0.73,8,0.18,268,6.09,135,3.07,20,0.45,-,-,41,4.56,-,-,1,0.11,3,0.33,-,-,-,-
Tokushima,3001,81.11,113,4.91,46,2,33,1.43,2356,102.43,26,1.13,38,1.65,3,0.13,123,5.35,8,0.35,8,0.35,2,0.5,2,0.5,2,0.29,3,0.43,-,-,-,-,-,-
Kagawa,6873,146.23,193,6.89,105,3.75,35,1.25,4176,149.14,32,1.14,10,0.36,1,0.04,164,5.86,89,3.18,14,0.5,-,-,8,1.6,-,-,2,0.4,1,0.2,-,-,-,-
Ehime,6345,105.75,344,9.56,100,2.78,388,10.78,6199,172.19,34,0.94,35,0.97,2,0.06,287,7.97,17,0.47,23,0.64,-,-,63,7.88,-,-,-,-,2,0.33,-,-,-,-
Kochi,4666,103.69,179,6.63,39,1.44,125,4.63,2191,81.15,29,1.07,103,3.81,9,0.33,108,4,220,8.15,4,0.15,-,-,4,1.33,2,0.25,-,-,11,1.38,-,-,6,0.75
Fukuoka,43300,218.69,1609,13.41,586,4.88,3522,29.35,12177,101.48,217,1.81,449,3.74,17,0.14,790,6.58,877,7.31,77,0.64,1,0.04,81,3.12,7,0.47,4,0.27,1,0.07,-,-,3,0.2
Saga,7340,188.21,495,21.52,158,6.87,123,5.35,1346,58.52,16,0.7,89,3.87,3,0.13,189,8.22,369,16.04,13,0.57,-,-,5,1.25,4,0.67,1,0.17,1,0.17,-,-,4,0.67
Nagasaki,10823,154.61,780,17.73,143,3.25,1293,29.39,2861,65.02,77,1.75,183,4.16,9,0.2,211,4.8,612,13.91,33,0.75,12,1.5,40,5,2,0.17,3,0.25,5,0.42,-,-,-,-
Kumamoto,8806,111.47,753,15.37,188,3.84,217,4.43,4725,96.43,59,1.2,114,2.33,2,0.04,377,7.69,916,18.69,40,0.82,-,-,57,6.33,3,0.2,8,0.53,1,0.07,-,-,-,-
Oita,9929,171.19,190,5.28,133,3.69,282,7.83,7133,198.14,82,2.28,34,0.94,9,0.25,254,7.06,106,2.94,32,0.89,-,-,31,6.2,1,0.09,1,0.09,7,0.64,-,-,-,-
Miyazaki,10283,180.4,510,14.57,257,7.34,359,10.26,6425,183.57,72,2.06,104,2.97,6,0.17,272,7.77,444,12.69,31,0.89,2,0.33,83,13.83,1,0.14,1,0.14,-,-,-,-,-,-
Kagoshima,7850,86.26,1452,27.4,418,7.89,351,6.62,7258,136.94,60,1.13,243,4.58,18,0.34,274,5.17,243,4.58,54,1.02,2,0.29,46,6.57,-,-,3,0.25,-,-,-,-,-,-
Okinawa,16023,291.33,198,6.19,127,3.97,636,19.88,1178,36.81,57,1.78,1577,49.28,7,0.22,117,3.66,52,1.63,20,0.63,10,1.25,96,12,8,1.14,5,0.71,2,0.29,1,0.14,-,-
